citing_id,cited_id
2019-0000,2016-0235
2019-0000,2016-0341
2019-0000,2017-0025
2019-0000,2017-0074
2019-0000,2017-0078
2019-0001,1972-0000
2019-0001,1985-0008
2019-0001,1986-0003
2019-0001,1988-0013
2019-0001,1991-0015
2019-0001,1996-0010
2019-0001,1998-0003
2019-0001,1999-0015
2019-0001,2000-0011
2019-0001,2004-0014
2019-0001,2004-0034
2019-0001,2004-0037
2019-0001,2004-0059
2019-0001,2005-0007
2019-0001,2005-0021
2019-0001,2007-0003
2019-0001,2008-0014
2019-0001,2008-0090
2019-0001,2009-0054
2019-0001,2009-0079
2019-0001,2010-0070
2019-0001,2011-0008
2019-0001,2011-0117
2019-0001,2012-0077
2019-0001,2013-0056
2019-0001,2014-0051
2019-0001,2014-0179
2019-0001,2015-0040
2019-0001,2015-0075
2019-0001,2016-0021
2019-0001,2016-0189
2019-0001,2016-0194
2019-0001,2017-0017
2019-0001,2017-0053
2019-0001,2018-0006
2019-0001,2018-0093
2019-0001,2018-0140
2019-0002,2014-0077
2019-0002,2019-0019
2019-0002,2019-0022
2019-0002,2019-0055
2019-0002,2019-0065
2019-0002,2019-0101
2019-0002,2019-0106
2019-0002,2019-0114
2019-0002,2019-0244
2019-0003,1985-0004
2019-0003,1989-0000
2019-0003,1995-0000
2019-0003,1997-0022
2019-0003,1998-0004
2019-0003,2001-0012
2019-0003,2003-0011
2019-0003,2004-0043
2019-0003,2006-0040
2019-0003,2008-0067
2019-0003,2009-0035
2019-0003,2009-0064
2019-0003,2009-0072
2019-0003,2010-0016
2019-0003,2010-0026
2019-0003,2010-0052
2019-0003,2010-0081
2019-0003,2010-0092
2019-0003,2010-0101
2019-0003,2010-0128
2019-0003,2010-0157
2019-0003,2011-0116
2019-0003,2012-0046
2019-0003,2012-0073
2019-0003,2013-0080
2019-0003,2013-0157
2019-0003,2014-0034
2019-0003,2015-0020
2019-0003,2015-0064
2019-0003,2015-0117
2019-0003,2015-0132
2019-0003,2015-0161
2019-0003,2016-0058
2019-0003,2016-0097
2019-0003,2016-0179
2019-0003,2016-0325
2019-0003,2016-0325
2019-0003,2016-0334
2019-0003,2017-0046
2019-0003,2017-0071
2019-0003,2017-0128
2019-0003,2017-0169
2019-0003,2017-0247
2019-0003,2018-0063
2019-0003,2018-0134
2019-0003,2018-0161
2019-0003,2018-0165
2019-0003,2018-0261
2019-0003,2018-0321
2019-0003,2018-0331
2019-0003,2018-0461
2019-0004,2009-0102
2019-0004,2009-0113
2019-0004,2010-0112
2019-0004,2010-0124
2019-0004,2010-0132
2019-0004,2015-0179
2019-0004,2015-0209
2019-0004,2017-0138
2019-0004,2017-0251
2019-0005,1997-0012
2019-0005,1999-0039
2019-0005,2001-0044
2019-0005,2002-0043
2019-0005,2004-0001
2019-0005,2004-0003
2019-0005,2007-0007
2019-0005,2008-0073
2019-0005,2008-0091
2019-0005,2009-0086
2019-0005,2010-0037
2019-0005,2011-0043
2019-0005,2011-0106
2019-0005,2011-0170
2019-0005,2013-0095
2019-0005,2014-0046
2019-0005,2014-0102
2019-0005,2015-0004
2019-0005,2015-0120
2019-0005,2015-0192
2019-0005,2016-0064
2019-0005,2016-0108
2019-0005,2016-0181
2019-0005,2016-0191
2019-0005,2016-0225
2019-0005,2016-0297
2019-0005,2017-0071
2019-0005,2017-0150
2019-0005,2018-0022
2019-0005,2018-0083
2019-0005,2018-0252
2019-0005,2018-0301
2019-0005,2018-0328
2019-0005,2018-0346
2019-0005,2018-0388
2019-0006,1990-0002
2019-0006,1998-0006
2019-0006,1999-0009
2019-0006,2002-0055
2019-0006,2003-0060
2019-0006,2004-0012
2019-0006,2004-0042
2019-0006,2007-0030
2019-0006,2007-0036
2019-0006,2010-0033
2019-0006,2010-0096
2019-0006,2011-0132
2019-0006,2013-0137
2019-0006,2014-0054
2019-0006,2014-0090
2019-0006,2014-0104
2019-0006,2015-0045
2019-0006,2015-0166
2019-0006,2016-0250
2019-0006,2016-0302
2019-0006,2017-0043
2019-0006,2017-0046
2019-0006,2017-0355
2019-0006,2018-0118
2019-0006,2018-0300
2019-0007,2004-0009
2019-0007,2005-0000
2019-0007,2012-0012
2019-0007,2014-0033
2019-0007,2016-0011
2019-0007,2016-0044
2019-0007,2016-0051
2019-0007,2016-0076
2019-0007,2016-0149
2019-0007,2016-0186
2019-0007,2016-0226
2019-0007,2016-0307
2019-0007,2017-0046
2019-0007,2017-0157
2019-0007,2017-0194
2019-0007,2017-0331
2019-0007,2017-0418
2019-0007,2018-0188
2019-0007,2018-0203
2019-0007,2019-0237
2019-0007,2019-0310
2019-0007,2019-0346
2019-0008,2010-0057
2019-0008,2017-0038
2019-0008,2018-0020
2019-0008,2018-0022
2019-0008,2018-0226
2019-0008,2018-0530
2019-0009,2000-0040
2019-0009,2002-0021
2019-0009,2005-0031
2019-0009,2009-0042
2019-0009,2010-0102
2019-0009,2011-0018
2019-0009,2011-0067
2019-0009,2011-0162
2019-0009,2011-0166
2019-0009,2012-0061
2019-0009,2012-0175
2019-0009,2014-0079
2019-0009,2014-0150
2019-0009,2014-0189
2019-0009,2015-0036
2019-0009,2015-0044
2019-0009,2015-0093
2019-0009,2015-0145
2019-0009,2015-0215
2019-0009,2015-0241
2019-0009,2015-0245
2019-0009,2016-0059
2019-0009,2016-0096
2019-0009,2016-0177
2019-0009,2017-0015
2019-0009,2017-0118
2019-0009,2017-0252
2019-0009,2017-0264
2019-0009,2017-0321
2019-0009,2018-0113
2019-0009,2018-0135
2019-0009,2018-0366
2019-0009,2018-0385
2019-0009,2019-0042
2019-0009,2019-0065
2019-0009,2019-0377
2019-0010,1998-0006
2019-0010,2001-0026
2019-0010,2007-0015
2019-0010,2007-0030
2019-0010,2007-0036
2019-0010,2010-0038
2019-0010,2012-0080
2019-0010,2013-0038
2019-0010,2013-0087
2019-0010,2013-0104
2019-0010,2013-0105
2019-0010,2014-0104
2019-0010,2015-0045
2019-0010,2015-0049
2019-0010,2016-0044
2019-0010,2016-0227
2019-0010,2016-0260
2019-0010,2016-0268
2019-0010,2017-0031
2019-0010,2017-0046
2019-0010,2017-0077
2019-0010,2017-0191
2019-0010,2018-0118
2019-0010,2018-0399
2019-0010,2019-0200
2019-0010,2019-0404
2019-0011,1986-0002
2019-0011,2013-0134
2019-0011,2015-0162
2019-0011,2016-0241
2019-0011,2016-0325
2019-0011,2017-0071
2019-0011,2017-0138
2019-0011,2018-0050
2019-0011,2018-0134
2019-0011,2018-0400
2019-0011,2019-0113
2019-0011,2019-0367
2019-0011,2019-0424
2019-0012,1976-0001
2019-0012,2008-0011
2019-0012,2009-0000
2019-0012,2011-0056
2019-0012,2015-0189
2019-0012,2016-0009
2019-0012,2016-0050
2019-0012,2016-0135
2019-0012,2016-0254
2019-0012,2017-0009
2019-0012,2017-0056
2019-0012,2017-0070
2019-0012,2017-0107
2019-0012,2017-0137
2019-0012,2017-0139
2019-0012,2017-0145
2019-0012,2017-0177
2019-0012,2017-0239
2019-0012,2017-0269
2019-0012,2017-0328
2019-0012,2017-0344
2019-0012,2017-0356
2019-0012,2017-0408
2019-0012,2018-0020
2019-0012,2018-0042
2019-0012,2018-0079
2019-0012,2018-0107
2019-0012,2018-0123
2019-0012,2018-0173
2019-0012,2018-0179
2019-0012,2018-0245
2019-0012,2018-0284
2019-0012,2018-0336
2019-0012,2018-0368
2019-0012,2018-0392
2019-0012,2018-0394
2019-0012,2018-0410
2019-0012,2018-0502
